tensor,latency
"[3.4105e-01 3.9345e-01 9.3385e-01 4.7671e-01 6.6678e-01 -7.4461e-01 -6.3384e-01 6.6595e-01 4.4195e-01 9.7099e-01 -5.1990e-01 -9.4259e-01 2.2521e-01 2.2183e-01 -1.7840e+00 -1.5102e-01 -1.2870e-01 7.2299e-01 7.5720e-01 -4.6070e-01 9.4957e-01 5.6515e-01 1.8373e-01 3.9202e-01 6.9657e-01 8.7198e-01 1.7764e+00 1.4925e-01 3.7340e-01 4.3347e-01 6.1539e-01 4.0615e-02]",133000.0
"[4.0182e+00 9.8799e-01 4.0625e-01 8.6267e-01 3.6301e-01 1.7235e-01 6.7695e-01 -1.4934e+00 4.4195e-01 2.1418e-01 -5.1990e-01 2.6182e-01 1.2327e+00 8.9605e-01 6.1142e-01 -1.5102e-01 5.4942e-02 1.4986e-01 1.1877e-01 5.5471e-01 2.3616e-01 -2.2891e-01 1.8373e-01 5.4086e-01 6.9657e-01 1.9577e-01 2.4001e-01 9.2066e-01 5.3363e-02 7.1948e-01 -2.4561e-01 -1.1381e+00]",133000.0
"[4.0182e+00 9.8799e-01 8.5339e-01 2.7538e-01 3.3497e-03 5.7842e-02 -6.3384e-01 -1.4934e+00 8.0343e-01 8.8747e-01 4.5871e-01 1.7463e-01 2.4979e-02 1.8067e-02 9.9941e-01 -1.5102e-01 3.3586e-01 6.7188e-01 7.5720e-01 6.8218e-01 6.5808e-02 4.8951e-01 8.1163e-01 -1.9650e-01 7.2554e-02 7.0638e-01 1.7764e+00 1.3311e-01 1.2972e-01 5.1915e-01 3.2034e-02 9.3619e-02]",133000.0
"[4.0182e+00 9.8799e-01 7.8471e-01 4.5982e-01 -7.0684e-01 4.3365e-01 -6.3384e-01 -1.4934e+00 4.4195e-01 4.0756e-01 1.2891e-02 -9.4259e-01 3.9667e-01 5.4608e-01 1.0586e-01 1.8436e-01 -1.2870e-01 1.0175e+00 7.5720e-01 -4.6070e-01 1.2073e-01 3.1315e-01 9.9817e-01 -1.9650e-01 4.4432e-01 6.9566e-01 1.7712e-01 1.3311e-01 5.2056e-01 6.1416e-01 -2.4561e-01 2.2002e-01]",133000.0
"[4.0182e+00 9.8799e-01 1.6188e-01 4.7671e-01 -7.0684e-01 3.9118e-01 2.1087e-01 6.1757e-01 4.2229e-01 -1.4920e+00 -5.1990e-01 9.6705e-01 1.2327e+00 -1.5443e-02 -1.7840e+00 2.9787e-01 6.6204e-01 1.0175e+00 3.4414e-01 6.3304e-01 2.1020e-02 3.6647e-01 7.0607e-01 -1.9650e-01 6.9657e-01 2.6914e-01 1.7764e+00 1.3311e-01 3.2979e-01 9.8364e-02 -2.4561e-01 1.5745e-01]",133000.0
"[4.0182e+00 2.4638e-01 1.6188e-01 4.7671e-01 9.6991e-01 3.7714e-02 6.1833e-01 3.5909e-01 1.5379e-02 3.2765e-01 3.6136e-01 -9.4259e-01 8.6636e-01 7.6167e-01 -1.7840e+00 -1.5102e-01 8.0930e-02 9.2404e-01 7.3224e-01 6.9635e-01 -2.1156e-01 7.1856e-01 1.4784e-02 3.1713e-01 6.7431e-01 9.0538e-01 1.7764e+00 9.3139e-01 5.0487e-01 2.9782e-01 -2.4561e-01 8.5544e-01]",133000.0
"[4.0182e+00 9.8799e-01 9.8100e-01 4.7671e-01 3.4052e-01 -7.4461e-01 5.1921e-01 2.8813e-01 9.7620e-02 9.4633e-01 -5.1990e-01 2.3379e-01 3.8273e-01 7.2083e-01 7.8842e-01 5.6774e-01 7.6945e-01 8.6309e-01 6.3106e-01 -4.6070e-01 9.5405e-01 3.3182e-01 4.9867e-01 -1.9650e-01 4.8492e-01 2.8221e-01 9.5265e-01 1.3311e-01 3.2979e-01 6.8263e-01 3.9839e-01 -1.1381e+00]",133000.0
"[4.0182e+00 9.1977e-01 4.8596e-01 4.7671e-01 -7.0684e-01 -7.4461e-01 -6.3384e-01 7.5068e-01 6.2141e-01 6.7859e-01 6.8750e-01 -9.4259e-01 4.7889e-01 7.6745e-02 -1.7840e+00 4.8341e-01 9.0215e-01 9.8249e-03 7.5720e-01 4.0089e-01 -2.1156e-01 -2.2891e-01 1.8373e-01 -1.9650e-01 6.9657e-01 9.4343e-02 1.7764e+00 4.0794e-01 1.6050e-01 -7.4668e-02 9.3241e-01 4.8051e-01]",133000.0
"[1.3583e-01 3.5406e-01 7.6744e-01 3.5299e-02 -7.0684e-01 -7.4461e-01 -6.3384e-01 -1.4934e+00 5.1835e-01 8.2109e-01 3.3638e-01 -9.4259e-01 1.5388e-01 7.7986e-01 -1.7840e+00 2.6884e-01 -1.2870e-01 9.1442e-01 8.0733e-02 5.8253e-01 7.4085e-01 5.6031e-01 9.9092e-01 4.9086e-01 6.9657e-01 1.6263e-01 5.6745e-01 1.3311e-01 3.2979e-01 4.5978e-01 -2.4561e-01 3.8852e-01]",133000.0
"[6.5400e-01 9.4454e-01 1.6188e-01 2.8995e-01 4.6320e-01 3.2403e-01 9.0466e-01 7.7546e-01 4.4195e-01 2.7004e-01 -5.1990e-01 1.7210e-01 7.5409e-01 -1.5443e-02 -1.7840e+00 2.4339e-02 3.1514e-01 1.0175e+00 7.5720e-01 8.0027e-02 6.9668e-01 4.2244e-01 7.6963e-01 7.7916e-01 6.9657e-01 -2.0240e-01 6.9796e-01 1.3311e-01 3.2979e-01 3.3575e-01 4.5962e-01 -1.1381e+00]",133000.0
"[4.0182e+00 8.6758e-01 3.3612e-01 9.3915e-01 5.9106e-01 -7.4461e-01 -6.3384e-01 9.2875e-01 4.4195e-01 2.1154e-01 -5.1990e-01 8.6214e-01 9.2235e-01 8.8136e-01 -1.7840e+00 8.1972e-01 8.2205e-01 1.0175e+00 7.5720e-01 4.7714e-01 9.6534e-01 7.3975e-01 9.5289e-01 -1.9650e-01 2.6669e-01 -2.0240e-01 5.3662e-01 3.5076e-01 8.8841e-01 8.6768e-01 2.8199e-01 -1.1381e+00]",133000.0
"[4.0182e+00 4.8436e-01 1.6188e-01 8.8367e-01 -7.0684e-01 2.3495e-01 5.4766e-01 1.9729e-01 4.6036e-01 1.2445e-01 3.2363e-02 5.6256e-01 7.7236e-02 1.6204e-01 -1.7840e+00 8.2891e-02 -1.2870e-01 1.0175e+00 1.1303e-01 3.0205e-01 7.2069e-01 -2.2891e-01 9.1401e-01 -1.9650e-01 8.5164e-01 -2.0240e-01 5.0405e-01 7.8233e-01 3.2979e-01 5.8938e-01 9.9190e-01 5.4538e-01]",133000.0
"[4.0182e+00 9.8799e-01 6.7845e-01 3.6003e-01 6.9351e-01 5.1862e-01 4.5355e-01 1.4269e-02 9.7423e-01 3.8286e-01 -5.1990e-01 8.6045e-01 3.5907e-01 -1.5443e-02 -1.7840e+00 -1.5102e-01 4.4166e-01 1.0175e+00 7.5720e-01 -4.6070e-01 2.8282e-01 3.7892e-01 3.4354e-01 -1.9650e-01 1.3199e-01 6.8585e-01 4.7661e-01 3.5619e-01 7.0089e-01 1.6770e-02 9.3073e-01 1.2049e-01]",133000.0
"[4.0182e+00 4.9407e-01 7.8318e-01 4.6638e-01 9.8700e-01 8.4752e-01 5.7943e-01 -1.4934e+00 2.6600e-01 3.8880e-01 -5.1990e-01 -9.4259e-01 1.2327e+00 -1.5443e-02 -1.7840e+00 4.1510e-01 2.1728e-01 5.1210e-01 1.0409e-01 7.8683e-01 1.6591e-04 -2.2891e-01 8.6912e-01 -1.9650e-01 8.8951e-01 2.5859e-01 6.9255e-01 8.9199e-01 3.2979e-01 9.7641e-01 4.9539e-01 9.1623e-01]",133000.0
"[4.0182e+00 2.8393e-02 5.5105e-01 6.5835e-02 -7.0684e-01 9.4093e-02 8.1026e-01 1.9903e-01 4.4195e-01 -1.4920e+00 2.6224e-01 9.4657e-01 1.2327e+00 5.9067e-01 -1.7840e+00 1.1330e-01 -1.2870e-01 1.0175e+00 7.5720e-01 6.2962e-01 2.9798e-01 6.0334e-01 1.8373e-01 2.6110e-01 6.9657e-01 -2.0240e-01 9.6622e-01 2.3177e-01 3.2979e-01 2.4580e-01 3.3271e-02 6.7084e-01]",133000.0
"[4.0182e+00 2.9922e-01 8.8659e-01 4.7671e-01 9.8065e-01 -7.4461e-01 -6.3384e-01 2.3127e-01 4.8035e-01 7.0380e-01 5.8885e-01 7.5870e-01 1.2327e+00 -1.5443e-02 4.0411e-01 -1.5102e-01 -1.2870e-01 7.8785e-01 7.4837e-01 -4.6070e-01 5.2421e-01 -2.2891e-01 9.2420e-01 1.4954e-01 6.9657e-01 -2.0240e-01 1.7764e+00 2.8104e-01 3.2979e-01 4.1291e-01 8.6999e-01 9.0129e-02]",133000.0
