tensor,latency
"[9.5401e-01,3.2836e-01,9.0272e-01,9.0631e-01,3.9290e-01,8.3735e-01,3.6439e-01,3.9889e-02,9.8868e-01,5.9571e-01,5.1819e-01,8.4488e-01,9.2544e-01,3.5039e-01,4.7302e-01,4.4050e-01,1.7068e-01,3.0294e-01,5.4803e-01,9.8690e-01,7.8714e-01,4.3330e-01,4.6258e-02,4.8816e-01,1.4687e-01,2.2648e-01,5.1742e-01,4.3086e-01,5.6556e-01,9.7499e-01,8.9019e-01,8.7129e-01]",39000.0
"[7.8185e-01,3.2836e-01,8.6309e-01,7.3956e-01,9.1916e-01,3.0265e-01,9.8122e-01,9.1475e-02,4.2679e-01,2.7082e-01,6.8453e-01,2.5460e-01,2.9462e-02,1.8633e-01,2.6592e-01,2.9284e-01,1.0139e-01,3.0294e-01,5.4803e-01,5.5565e-01,3.3486e-01,4.3330e-01,3.7672e-01,2.2138e-01,6.7871e-01,9.7674e-01,2.6494e-01,9.1860e-01,2.0798e-01,8.1845e-01,8.9019e-01,8.7129e-01]",39000.0
"[1.9149e-01,3.2836e-01,3.9609e-01,3.6870e-01,8.7645e-01,6.9100e-01,8.0647e-01,3.9889e-02,4.2679e-01,2.7082e-01,5.1361e-01,6.9387e-02,2.3220e-01,8.3030e-01,6.2133e-01,5.3937e-01,4.4212e-01,3.0294e-01,4.4235e-01,8.6927e-01,3.5941e-03,7.0071e-01,4.6258e-02,9.9951e-01,6.7871e-01,9.2631e-01,4.6700e-01,4.3086e-01,5.6556e-01,8.1845e-01,8.9019e-01,8.7129e-01]",39000.0
"[5.4205e-01,3.1139e-01,2.3339e-01,1.5976e-01,8.3675e-02,8.3735e-01,5.0802e-01,3.9889e-02,6.4813e-01,9.4025e-01,5.1819e-01,5.2780e-01,3.2795e-01,7.1828e-01,8.4417e-01,9.3347e-01,3.3140e-01,4.6355e-01,5.4803e-01,7.3063e-01,3.8043e-01,1.1390e-01,4.6258e-02,5.4369e-01,6.7871e-01,3.8912e-01,1.4616e-02,4.3086e-01,6.8813e-02,8.1845e-01,8.9019e-01,8.7129e-01]",39000.0
"[9.6689e-01,4.5430e-01,6.8938e-01,9.0631e-01,9.6120e-01,9.1064e-01,3.6439e-01,7.9267e-01,6.1775e-02,7.4900e-01,7.5280e-01,2.5460e-01,4.0782e-01,7.8170e-01,7.9910e-01,7.8452e-01,2.6790e-01,3.0294e-01,5.4803e-01,9.8690e-01,6.3277e-01,4.3330e-01,9.5934e-01,2.2138e-01,4.4410e-02,2.7074e-01,8.7412e-01,4.3086e-01,5.9761e-01,3.6028e-01,8.9019e-01,8.9346e-01]",39000.0
"[9.0132e-01,3.2836e-01,5.9349e-01,4.9918e-01,9.4044e-02,9.4869e-01,3.6439e-01,2.8457e-01,5.8310e-01,6.3008e-01,7.5765e-02,6.6112e-01,3.7279e-02,9.9324e-01,2.2609e-01,7.8452e-01,9.4068e-01,7.5678e-02,2.2752e-01,9.8690e-01,1.6319e-01,8.2723e-01,3.3973e-01,2.2138e-01,6.7871e-01,1.3768e-02,7.4015e-01,4.3086e-01,9.2255e-01,5.8746e-01,7.1636e-01,9.6854e-01]",39000.0
"[5.0087e-01,6.5038e-01,8.4481e-01,6.2989e-01,8.1645e-01,7.3488e-01,8.2084e-01,3.9889e-02,5.4815e-01,4.8651e-01,5.1819e-01,2.5460e-01,8.0311e-01,5.4979e-01,9.4371e-01,4.3055e-01,4.4212e-01,1.3632e-01,1.3113e-01,3.2200e-01,2.4133e-01,1.5886e-01,4.6258e-02,9.5127e-01,2.1380e-01,6.5126e-01,1.7016e-01,3.5951e-01,5.6556e-01,8.7829e-02,6.4001e-01,8.7129e-01]",39000.0
"[4.5266e-01,3.2836e-01,8.6309e-01,9.0631e-01,9.1916e-01,5.8710e-01,7.1595e-01,3.9889e-02,5.2287e-01,2.7082e-01,5.1819e-01,4.3174e-01,4.0782e-01,3.0025e-01,9.9584e-01,1.8000e-01,4.4212e-01,5.6012e-01,5.4803e-01,9.2087e-01,2.0388e-01,6.1321e-01,2.8344e-02,2.3468e-01,3.1440e-01,9.7674e-01,1.7016e-01,4.3086e-01,5.6556e-01,1.2840e-01,4.5313e-01,4.3138e-04]",39000.0
"[7.1431e-01,6.1531e-01,8.6309e-01,1.8785e-02,1.9715e-01,2.4579e-01,1.7736e-01,4.3480e-01,1.5004e-01,2.7082e-01,8.0413e-01,6.5253e-01,7.2107e-01,9.5023e-01,9.7521e-02,8.3113e-01,4.0068e-01,3.0294e-01,5.4803e-01,9.8690e-01,5.5608e-01,4.6035e-01,4.6258e-02,2.2138e-01,7.0577e-01,9.7674e-01,7.6603e-01,5.4910e-01,5.6556e-01,8.1845e-01,8.9019e-01,7.3845e-01]",39000.0
"[9.6689e-01,3.2836e-01,8.6309e-01,7.0813e-01,9.1916e-01,8.1995e-01,1.6314e-01,3.9889e-02,6.7567e-01,7.1399e-01,4.7203e-01,2.5460e-01,1.5508e-01,3.5039e-01,8.4417e-01,1.2148e-01,6.3344e-01,4.2783e-02,5.4803e-01,4.1693e-01,8.6976e-01,4.3330e-01,2.2325e-01,5.7352e-01,3.8433e-01,5.0082e-01,3.4477e-01,4.3086e-01,5.6556e-01,8.1845e-01,6.0974e-01,8.7129e-01]",39000.0
